file,directory,date_logged,log_name,contractor,data_type,log_service,log_activity,log_type,log_job,log_run,log_pass,casing_size_manual,section_size,station_number,station_depth,mfc_correction,interpretation_number,date_stamp
CONTENT-MUD_LOG_1.DLIS-112806.TXT,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_EY2T2,2014/08/18,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:14:42:19
MUD_LOG_1_INF_1-112807.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_EY2T2,2014/08/18,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:14:43:09
CONTENT-MUD_LOG_1.DLIS-112797.TXT,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_EY2,2014/08/17,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:14:31:48
MUD_LOG_1_INF_1-112798.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_EY2,2014/08/17,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:14:32:29
CONTENT-MUD_LOG_1.DLIS-112715.TXT,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_A,2014/03/31,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:22:39:44
MUD_LOG_1_INF_1-112717.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_A,2014/03/31,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:22:40:51
CONTENT-MUD_LOG_1.DLIS-112732.TXT,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_AT3,2014/07/14,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:22:29:42
MUD_LOG_1_INF_1-112733.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_AT3,2014/07/14,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:22:30:22
CONTENT-MUD_LOG_1.DLIS-112748.TXT,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_B,2014/07/15,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:14:48:45
MUD_LOG_1_INF_1-112749.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_B,2014/07/15,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:14:49:16
CONTENT-MUD_LOG_1.DLIS-112761.TXT,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_C,2014/07/26,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:22:45:25
MUD_LOG_1_INF_1-112762.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_C,2014/07/26,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:22:45:54
CONTENT-MUD_LOG_1.DLIS-112770.TXT,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_D,2014/07/28,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:23:26:36
MUD_LOG_1_INF_1-112771.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_D,2014/07/28,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:23:27:10
CONTENT-MUD_LOG_1.DLIS-112779.TXT,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_EY1,2014/07/28,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:23:07:54
MUD_LOG_1_INF_1-112780.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_EY1,2014/07/28,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:23:08:23
CONTENT-MUD_LOG_1.DLIS-112788.TXT,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_EY1T2,2014/08/06,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:15:11:29
MUD_LOG_1_INF_1-112789.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_19_EY1T2,2014/08/06,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/03:15:12:02
MUD_LOG_1_INF_1-39501.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_BY1T3,2015/04/03,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/13:15:56:19
STATOIL_RAW_DATA_INF_1-39494.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_BY1T3,2015/04/03,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/13:15:48:57
WLC_RAW_BHPR-GR-MECH-REMP_MWD_1_INF_1-39490.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_BY1T3,2015/04/03,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/13:15:44:51
WL_RAW_BHPR-GR-MECH-REMP_MWD_1_INF_1-39493.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_BY1T3,2015/04/03,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/13:15:47:57
WL_RAW_BHPR-MECH_TIME_MWD_1_INF_1-39491.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_BY1T3,2015/04/03,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/13:15:45:51
WL_RAW_BHPR-MECH_TIME_MWD_1-39492.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_BY1T3,2015/04/03,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/13:15:47:00
STATOIL_RAW_DATA_INF_1-40825.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_A,2015/03/31,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/24:09:03:37
WL_RAW_BHPR-GR-MECH-REMP_MWD_1-5_INF_1-40804.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_A,2015/03/31,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/24:08:37:50
WL_RAW_BHPR-MECH_TIME_MWD_1-40809.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_A,2015/03/02,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/24:08:46:19
WL_RAW_BHPR-MECH_TIME_MWD_1-5_INF_1-40810.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_A,2015/03/24,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/24:08:47:16
WL_RAW_BHPR-MECH_TIME_MWD_2-40811.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_A,2015/03/03,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/24:08:48:20
WL_RAW_BHPR-MECH_TIME_MWD_3-40812.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_A,2015/03/08,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/24:08:49:35
WL_RAW_BHPR-MECH_TIME_MWD_4-40813.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_A,2015/03/15,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/24:08:50:50
WL_RAW_BHPR-MECH_TIME_MWD_5-40814.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_A,2015/03/24,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/24:08:51:51
LOGGING_SUMMARY_1-40914.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_A,2015/06/03,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/24:13:05:07
LOGGING_SUMMARY_2-40915.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_A,2015/06/03,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/24:13:06:28
MUD_LOG_1_INF_1-40946.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_A,2015/05/29,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/24:13:27:38
LOGGING_SUMMARY_1-40969.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_BY1,2015/03/06,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/25:09:17:24
LOGGING_SUMMARY_2-40970.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_BY1,2015/03/06,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/25:09:18:36
MUD_LOG_1_INF_1-111514.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_BY1,2015/03/21,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,All sections,,,,,2018/04/04:00:15:31
WLC_RAW_BHPR-GR-MECH-REMP_MWD_1_INF_1-41102.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_4_T2,2015/01/11,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/25:12:44:33
WL_RAW_BHPR-GR-MECH-REMP_MWD_1-3_INF_1-41124.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_4_T2,2015/01/11,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/25:12:53:32
WL_RAW_BHPR-MECH_TIME_MWD_1-41127.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_4_T2,2014/11/09,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/25:12:59:04
WL_RAW_BHPR-MECH_TIME_MWD_1-4_INF_1-41128.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_4_T2,2015/01/10,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/25:13:00:16
WL_RAW_BHPR-MECH_TIME_MWD_2-41129.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_4_T2,2014/11/21,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/25:13:02:02
WL_RAW_BHPR-MECH_TIME_MWD_3-41130.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_4_T2,2014/11/29,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/25:13:03:28
WL_RAW_BHPR-MECH_TIME_MWD_4-41131.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_4_T2,2015/01/10,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/25:13:04:34
MUD_LOG_1_INF_1-41160.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_4_T2,2014/10/25,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/25:13:17:36
STATOIL_RAW_DATA_INF_1-41429.ASC,/project/recall/prod/arc/norway_a/files/GRANE/NO_25_11_G_2_BY1T2,2015/03/06,AUTOMATIC,BAKER HUGHES,RAW,,,FINAL,,,,,,,,,,2015/08/26:08:36:55
